iter	Passed	Remaining
511	1805	1721
512	1810	1718
513	1812	1713
514	1815	1709
515	1817	1704
516	1819	1699
517	1821	1695
518	1823	1689
519	1824	1684
520	1829	1682
521	1840	1685
522	1846	1683
523	1850	1680
524	1852	1676
525	1855	1672
526	1858	1667
527	1860	1663
528	1863	1659
529	1865	1654
530	1867	1649
531	1870	1645
532	1879	1646
533	1883	1643
534	1888	1641
535	1891	1637
536	1893	1632
537	1895	1627
538	1898	1623
539	1900	1619
540	1903	1614
541	1908	1612
542	1921	1617
543	1926	1614
544	1933	1614
545	1935	1609
546	1937	1604
547	1939	1599
548	1942	1595
549	1957	1601
550	1963	1599
551	1966	1596
552	1969	1591
553	1971	1587
554	1973	1582
555	1975	1577
556	1978	1573
557	1980	1568
558	1982	1563
559	1992	1565
560	1996	1562
561	1999	1558
562	2002	1554
563	2005	1550
564	2007	1545
565	2009	1540
566	2012	1536
567	2013	1531
568	2015	1526
569	2019	1523
570	2031	1526
571	2041	1527
572	2044	1523
573	2046	1518
574	2048	1513
575	2050	1509
576	2054	1506
577	2061	1505
578	2069	1504
579	2073	1501
580	2076	1497
581	2081	1494
582	2083	1490
583	2085	1485
584	2087	1480
585	2089	1476
586	2091	1471
587	2092	1466
588	2096	1462
589	2106	1463
590	2110	1460
591	2113	1456
592	2116	1452
593	2118	1448
594	2120	1443
595	2122	1438
596	2124	1433
597	2126	1429
598	2127	1424
599	2128	1419
600	2130	1414
601	2132	1409
602	2133	1404
603	2134	1399
604	2135	1394
605	2136	1389
606	2139	1385
607	2149	1385
608	2153	1382
609	2157	1379
610	2160	1375
611	2163	1371
612	2164	1366
613	2166	1362
614	2168	1357
615	2170	1352
616	2172	1348
617	2173	1343
618	2175	1338
619	2182	1337
620	2189	1336
621	2193	1332
622	2196	1329
623	2198	1324
624	2201	1320
625	2203	1316
626	2205	1312
627	2208	1307
628	2209	1303
629	2210	1298
630	2212	1293
631	2213	1289
632	2215	1284
633	2225	1284
634	2229	1281
635	2232	1277
636	2235	1273
637	2237	1269
638	2239	1265
639	2241	1260
640	2243	1256
641	2245	1252
642	2247	1247
643	2249	1243
644	2250	1238
645	2262	1239
646	2268	1237
647	2273	1234
648	2276	1230
649	2278	1226
650	2281	1223
651	2283	1218
652	2285	1214
653	2287	1210
654	2288	1205
655	2290	1201
656	2303	1202
657	2306	1198
658	2312	1196
659	2315	1192
660	2317	1188
661	2319	1184
662	2322	1180
663	2324	1176
664	2326	1171
665	2327	1167
666	2333	1164
667	2341	1163
668	2346	1160
669	2349	1157
670	2352	1153
671	2354	1149
672	2356	1145
673	2359	1141
674	2360	1136
675	2362	1132
676	2363	1127
677	2364	1123
678	2370	1120
679	2378	1119
680	2383	1116
681	2387	1113
682	2390	1109
683	2392	1105
684	2394	1101
685	2396	1096
686	2398	1092
687	2400	1088
688	2401	1084
689	2404	1080
690	2415	1080
691	2419	1077
692	2423	1073
693	2429	1071
694	2432	1067
695	2434	1063
696	2436	1058
697	2437	1054
698	2439	1050
699	2440	1045
700	2454	1046
701	2459	1044
702	2463	1040
703	2465	1036
704	2467	1032
705	2468	1028
706	2470	1023
707	2473	1020
708	2475	1015
709	2476	1011
710	2478	1007
711	2479	1003
712	2481	998
713	2482	994
714	2483	989
715	2484	985
716	2485	981
717	2494	979
718	2499	976
719	2503	973
720	2506	970
721	2509	966
722	2512	962
723	2514	958
724	2516	954
725	2518	950
726	2520	946
727	2521	942
728	2523	938
729	2524	933
730	2526	929
731	2527	925
732	2528	920
733	2529	916
734	2533	913
735	2543	912
736	2546	908
737	2550	905
738	2553	901
739	2555	897
740	2557	893
741	2559	890
742	2561	886
743	2564	882
744	2565	878
745	2567	874
746	2569	870
747	2570	866
748	2571	861
749	2572	857
750	2574	853
751	2578	850
752	2589	849
753	2593	846
754	2596	842
755	2598	838
756	2600	834
757	2602	830
758	2603	826
759	2605	822
760	2607	818
761	2608	814
762	2610	810
763	2611	806
764	2613	802
765	2614	798
766	2617	795
767	2625	793
768	2628	789
769	2631	785
770	2633	782
771	2635	778
772	2637	774
773	2639	770
774	2640	766
775	2642	762
776	2644	758
777	2647	755
778	2653	752
779	2661	750
780	2666	747
781	2669	744
782	2671	740
783	2674	736
784	2676	733
785	2678	729
786	2680	725
787	2682	721
788	2683	717
789	2686	714
790	2702	713
791	2706	710
792	2709	707
793	2714	704
794	2717	700
795	2719	696
796	2721	693
797	2724	689
798	2729	686
799	2738	684
800	2741	681
801	2746	678
802	2749	674
803	2751	670
804	2753	666
805	2754	663
806	2756	659
807	2758	655
808	2765	652
809	2774	650
810	2778	647
811	2781	644
812	2783	640
813	2787	636
814	2789	633
815	2791	629
816	2793	625
817	2794	621
818	2796	617
819	2797	614
820	2799	610
821	2810	608
822	2817	605
823	2819	602
824	2822	598
825	2825	595
826	2827	591
827	2829	587
828	2832	584
829	2833	580
830	2835	576
831	2837	572
832	2847	570
833	2860	569
834	2864	566
835	2867	562
836	2869	558
837	2871	555
838	2872	551
839	2874	547
840	2887	545
841	2905	545
842	2908	541
843	2910	537
844	2912	534
845	2913	530
846	2922	527
847	2929	525
848	2933	521
849	2936	518
850	2938	514
851	2941	510
852	2944	507
853	2946	503
854	2948	499
855	2949	496
856	2950	492
857	2952	488
858	2960	485
859	2966	482
860	2970	479
861	2973	476
862	2975	472
863	2977	468
864	2980	465
865	2982	461
866	2984	457
867	2986	454
868	2987	450
869	2989	446
870	2990	442
871	2991	439
872	2993	435
873	3001	432
874	3006	429
875	3009	426
876	3012	422
877	3015	419
878	3017	415
879	3019	411
880	3022	408
881	3023	404
882	3024	400
883	3026	397
884	3029	393
885	3038	390
886	3043	387
887	3049	384
888	3051	381
889	3053	377
890	3056	373
891	3060	370
892	3062	366
893	3063	363
894	3065	359
895	3067	356
896	3074	353
897	3080	349
898	3084	346
899	3088	343
900	3090	339
901	3093	336
902	3095	332
903	3097	328
904	3099	325
905	3101	321
906	3102	318
907	3104	314
908	3115	311
909	3120	308
910	3124	305
911	3126	301
912	3129	298
913	3131	294
914	3133	291
915	3135	287
916	3138	284
917	3140	280
918	3142	276
919	3147	273
920	3159	270
921	3162	267
922	3166	264
923	3168	260
924	3170	257
925	3173	253
926	3174	250
927	3176	246
928	3177	242
929	3179	239
930	3180	235
931	3190	232
932	3195	229
933	3203	226
934	3205	222
935	3207	219
936	3209	215
937	3211	212
938	3213	208
939	3215	205
940	3217	201
941	3218	198
942	3219	194
943	3221	191
944	3222	187
945	3223	183
946	3224	180
947	3234	177
948	3239	174
949	3245	170
950	3248	167
951	3250	163
952	3253	160
953	3255	156
954	3257	153
955	3259	150
956	3261	146
957	3263	143
958	3265	139
959	3267	136
960	3277	133
961	3281	129
962	3284	126
963	3286	122
964	3289	119
965	3291	115
966	3294	112
967	3295	108
968	3297	105
969	3299	102
970	3300	98
971	3302	95
972	3311	91
973	3316	88
974	3321	85
975	3323	81
976	3326	78
977	3328	74
978	3332	71
979	3334	68
980	3336	64
981	3338	61
982	3344	57
983	3352	54
984	3355	51
985	3358	47
986	3361	44
987	3364	40
988	3366	37
989	3368	34
990	3370	30
991	3372	27
992	3373	23
993	3375	20
994	3378	16
995	3387	13
996	3393	10
997	3396	6
998	3399	3
999	3401	0
